kodefikasi;komponendata;satuan;sumberdata;2023;2024;2025;2026
36201;Ekonomi;;;;;;
3620121801;Jumlah Perusahaan Industri Sedang;;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;;;;
3,62012E+11;Kabupaten Pandeglang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;40;0;0;0
3,62012E+11;Kabupaten Lebak;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;49;0;0;0
3,62012E+11;Kabupaten Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;396;0;0;0
3,62012E+11;Kabupaten Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;73;0;0;0
3,62012E+11;Kota Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;192;0;0;0
3,62012E+11;Kota Cilegon;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;41;0;0;0
3,62012E+11;Kota Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;49;0;0;0
3,62012E+11;Kota Tangerang Selatan;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;198;0;0;0
3,62012E+11;Provinsi Banten;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1038;0;0;0
3620121802;Jumlah Perusahaan Industri Besar;;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;;;;
3,62012E+11;Kabupaten Pandeglang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;77;0;0;0
3,62012E+11;Kabupaten Lebak;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;113;0;0;0
3,62012E+11;Kabupaten Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;2410;0;0;0
3,62012E+11;Kabupaten Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;484;0;0;0
3,62012E+11;Kota Tangerang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;1098;0;0;0
3,62012E+11;Kota Cilegon;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;256;0;0;0
3,62012E+11;Kota Serang;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;153;0;0;0
3,62012E+11;Kota Tangerang Selatan;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;938;0;0;0
3,62012E+11;Provinsi Banten;Perusahaan;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu;5529;0;0;0
362015101;Laju Pertumbuhan Ekonomi (LPE);;Badan Perencanaan Pembangunan Daerah;;;;
36201510101;Kabupaten Pandeglang;%;Badan Perencanaan Pembangunan Daerah;2,53;7,91;0;0
36201510102;Kabupaten Lebak;%;Badan Perencanaan Pembangunan Daerah;2,80;5,53;0;0
36201510103;Kabupaten Tangerang;%;Badan Perencanaan Pembangunan Daerah;5,18;4,45;0;0
36201510104;Kabupaten Serang;%;Badan Perencanaan Pembangunan Daerah;4,80;5.08;0;0
36201510171;Kota Tangerang;%;Badan Perencanaan Pembangunan Daerah;5,57;5,08;0;0
36201510172;Kota Cilegon;%;Badan Perencanaan Pembangunan Daerah;4,82;4,03;0;0
36201510173;Kota Serang;%;Badan Perencanaan Pembangunan Daerah;4,74;5,19;0;0
36201510174;Kota Tangerang Selatan;%;Badan Perencanaan Pembangunan Daerah;5,36;5,65;0;0
36201510136;Provinsi Banten;%;Badan Perencanaan Pembangunan Daerah;4,81;4,93;0;0
362015102;Produk Domestik Regional Bruto (PDRB) per Kapita Harga Berlaku;;Badan Perencanaan Pembangunan Daerah;;;;
36201510201;Kabupaten Pandeglang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;25,91;0;0;0
36201510202;Kabupaten Lebak;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;24,81;0;0;0
36201510203;Kabupaten Tangerang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;51,54;0;0;0
36201510204;Kabupaten Serang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;56,52;0;0;0
36201510271;Kota Tangerang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;105,915**;0;0;0
36201510272;Kota Cilegon;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;287.525,89**;0;0;0
36201510273;Kota Serang;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah; 55.050,78 ;0;0;0
36201510274;Kota Tangerang Selatan;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah; 104.387,69 ;0;0;0
36201510236;Provinsi Banten;Ribu Rupiah;Badan Perencanaan Pembangunan Daerah;66,15**;0;0;0
